state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Telangana,Zahirabad,Zahirabad,K.MADAN MOHAN RAO,M,44,GEN,TDP,Bicycle,156807,690,157497,1445354,,Madhubani,Madhubani
Telangana,Zahirabad,Zahirabad,SYED FEROZUDDIN,M,46,GEN,BSP,Elephant,8165,15,8180,1445354,,Jhanjharpur,Jhanjharpur
Telangana,Zahirabad,Zahirabad,SURESH KUMAR SHETKAR,M,53,GEN,INC,Hand,362939,1091,364030,1445354,,Supaul,Supaul
Telangana,Zahirabad,Zahirabad,MARRI DURGESH,M,30,SC,RPI(A),Sewing Machine,18027,0,18027,1445354,,Araria,Araria
Telangana,Zahirabad,Zahirabad,MAHMOOD MOHIUDDIN,M,44,GEN,YSRCP,Ceiling Fan,12369,14,12383,1445354,,Kishanganj,Kishanganj
Telangana,Zahirabad,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,M,53,GEN,AAAP,Broom,3270,15,3285,1445354,,Katihar,Katihar
Telangana,Zahirabad,Zahirabad,TANDALE AMBAJI RAO,M,45,GEN,IND,Slate,2321,2,2323,1445354,,Purnia,Purnia
Telangana,Zahirabad,Zahirabad,BENJAMIN RAJU,M,43,GEN,IND,Grapes,4802,2,4804,1445354,,Madhepura,Madhepura
Telangana,Zahirabad,Zahirabad,RAMA RAO,M,45,GEN,IND,Balloon,4426,0,4426,1445354,,Darbhanga,Darbhanga
Telangana,Zahirabad,Zahirabad,None of the Above,,0,,NOTA,NOTA,11157,33,11190,1445354,,Muzaffarpur,Muzaffarpur
Telangana,Medak,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,M,60,GEN,TRS,Car,655484,2008,657492,1536166,,Vaishali,Vaishali
Telangana,Medak,Medak,CHAGANLA NARENDRA NATH,M,49,GEN,BJP,Lotus,181177,627,181804,1536166,,Gopalganj (SC),Gopalganj (SC)
Telangana,Medak,Medak,Y. SHANKAR GOUD,M,50,GEN,BSP,Elephant,6633,10,6643,1536166,,Siwan,Siwan
Telangana,Medak,Medak,DR.P. SHRAVAN KUMAR REDDY,M,39,GEN,INC,Hand,260202,261,260463,1536166,,Maharajganj,Maharajganj
Telangana,Medak,Medak,IQBAL ALI ZAFAR,M,59,GEN,MBT,Balloon,5010,0,5010,1536166,,Saran,Saran
